240101220201112202014
036AUD001       4,652829       4,666829       4,680829
124CAD001       4,861367       4,875995       4,890623
203CZK001       0,285859       0,286719       0,287579
208DKK001       1,010003       1,013042       1,016081
348HUF100       2,115339       2,121704       2,128069
392JPY100       5,947654       5,965551       5,983448
578NOK001       0,704729       0,706850       0,708971
752SEK001       0,733539       0,735746       0,737953
756CHF001       6,990927       7,011963       7,032999
826GBP001       8,269137       8,294019       8,318901
840USD001       6,213644       6,232341       6,251038
977BAM001       3,843200       3,854764       3,866328
978EUR001       7,516645       7,539263       7,561881
985PLN001       1,695688       1,700790       1,705892
